"from_EX_lys__L_e","to_EX_lys__L_e","undir_EX_lys__L_e","ID","Name","Equation","ExEquation","Balance","Boundary","GRR","Type","Flux","ec-code","rhea","kegg.reaction","bigg.reaction","reactome.reaction","sbo","biocyc","seed.reaction","sabiork","metanetx.reaction","Reduced Cost"
20,20,20,"EX_aso3_e","Arsenite exchange","aso3_e --> ","Arsenite --> ","{'As': -1.0, 'O': -3.0}",1,"","reaction",0,,,,"EX_aso3_e",,"SBO:0000627","META:TRANS-RXN0-551","rxn05507|rxn08164",,"MNXR96073",0
12,12,12,"EX_asp__L_e","L-Aspartate exchange","asp__L_e --> ","L-Aspartate --> ","{'C': -4.0, 'H': -6.0, 'N': -1.0, 'O': -4.0}",1,"","reaction",0,,,,"EX_asp__L_e",,"SBO:0000627","META:TRANS-RXN0-554","rxn10906|rxn08170|rxn13232",,"MNXR96107",-0.8444444444444442
12,12,12,"EX_btn_e","Biotin exchange","btn_e --> ","Biotin --> ","{'C': -10.0, 'H': -15.0, 'N': -2.0, 'O': -3.0, 'S': -1.0}",1,"","reaction",0,,"28459|28461|28460|28458",,"EX_btn_e",,"SBO:0000627","META:TRANS-RXN0-240",,,"MNXR96333",0
14,14,14,"EX_but_e","Butyrate (n-C4:0) exchange","but_e --> ","Butyrate (n-C4:0) --> ","{'C': -4.0, 'H': -7.0, 'O': -2.0}",1,"","reaction",0,,,,"EX_but_e",,"SBO:0000627",,,,"MNXR96352",-0.9185185185185175
16,16,16,"EX_butso3_e","Butanesulfonate exchange","butso3_e --> ","Butanesulfonate --> ","{'C': -4.0, 'H': -9.0, 'O': -3.0, 'S': -1.0}",1,"","reaction",0,,,,"EX_butso3_e",,"SBO:0000627",,"rxn08182",,"MNXR96351",-0.4888888888888878
12,12,12,"EX_ca2_e","Calcium exchange","ca2_e <=> ","Calcium <=> ","{'Ca': -1.0}",1,"","reaction",0,"3.6.3.8","29671|29674|29673|29672",,"EX_ca2_e","R-HSA-210420|R-GGA-139855|R-HSA-432164|R-HSA-8863009|R-DME-2089943|R-CEL-2089943|R-CFA-3295579|R-TGU-5577213|R-SSC-2685505|R-RNO-210420|R-RNO-418309|R-TGU-5263618|R-DME-139854|R-SCE-418309|R-SSC-2534359|R-SSC-5263618|R-DRE-5263618|R-GGA-265645|R-RNO-3295579|R-ATH-2685505|R-TGU-265645|R-XTR-5263618|R-XTR-139854|R-XTR-418309|R-MMU-5263618|R-TGU-139854|R-GGA-418309|R-SSC-139854|R-CFA-418309|R-CEL-432164|R-SSC-2855020|R-DME-432164|R-DRE-139855|R-CEL-3295579|R-CFA-2089943|R-CFA-265645|R-GGA-432164|R-RNO-432164|R-MMU-2089943|R-GGA-2855020|R-CFA-2534359|R-RNO-182097|R-SSC-139855|R-CEL-139854|R-DRE-432164|R-SSC-418309|R-RNO-139854|R-DME-3295579|R-TGU-3295579|R-HSA-5263618|R-DDI-2685505|R-HSA-2534359|R-TGU-139855|R-XTR-5577213|R-CFA-5577213|R-DDI-3295579|R-HSA-2685505|R-XTR-210420|R-HSA-3295579|R-HSA-2855020|R-GGA-210420|R-DRE-2089943|R-CFA-2855020|R-RNO-139855|R-DME-418309|R-MMU-432164|R-BTA-139855|R-HSA-139854|R-DDI-418309|R-HSA-5577213|R-GGA-2089943|R-BTA-139854|R-CFA-2685505|R-MMU-2855020|R-HSA-418309|R-BTA-5577213|R-HSA-434798|R-XTR-2089943|R-BTA-2685505|R-MMU-418309|R-SSC-210420|R-HSA-169683|R-SSC-2089943|R-DRE-5577213|R-ATH-418309|R-RNO-2089943|R-RNO-265645|R-BTA-2855020|R-XTR-3295579|R-MMU-2685505|R-MMU-265645|R-CFA-139855|R-TGU-2685505|R-CFA-139854|R-CEL-418309|R-GGA-2685505|R-GGA-139854|R-XTR-2855020|R-BTA-265645|R-RNO-5263618|R-SSC-3295579|R-HSA-2089943|R-TGU-2855020|R-BTA-418309|R-DRE-139854|R-DRE-265645|R-GGA-3295579|R-XTR-2685505|R-BTA-2089943|R-MMU-210420|R-XTR-139855|R-SSC-265645|R-CFA-210420|R-XTR-265645|R-DME-434802|R-TGU-418309|R-MMU-3295579|R-RNO-2855020|R-SSC-5577213|R-OSA-2685505|R-HSA-4420052|R-DRE-2855020|R-BTA-5263618|R-GGA-5263618|R-CEL-5263618|R-RNO-2685505|R-GGA-5577213|R-BTA-210420|R-DRE-3295579|R-HSA-139855|R-DRE-210420|R-DRE-2685505|R-RNO-2534359|R-TGU-2089943|R-CFA-5263618|R-MMU-2534359|R-TGU-432164|R-BTA-2534359|R-MMU-139855|R-MMU-5577213|R-CFA-432164|R-XTR-432164|R-CEL-265645|R-SPO-418309|R-RNO-5577213|R-HSA-265645|R-OSA-418309|R-DRE-418309|R-BTA-3295579|R-TGU-210420|R-MMU-139854|R-SSC-432164|R-BTA-432164|R-DME-5263618","SBO:0000627","META:TRANS-RXN0-497|META:TRANS-RXN-144","rxn08186","12376","MNXR96436",0
16,16,16,"EX_cbi_e","Cobinamide exchange","cbi_e --> ","Cobinamide --> ","{'C': -48.0, 'H': -72.0, 'Co': -1.0, 'N': -11.0, 'O': -8.0}",1,"","reaction",0,,"29695|29697|29696|29698",,"EX_cbi_e",,"SBO:0000627","META:TRANS-RXN0-283",,,"MNXR124011",0
14,14,14,"EX_cbl1_e","Cob(I)alamin exchange","cbl1_e <=> ","Cob(I)alamin <=> ","{'C': -62.0, 'H': -88.0, 'Co': -1.0, 'N': -13.0, 'O': -14.0, 'P': -1.0}",1,"","reaction",0,,"29722|29720|29721|29719",,"EX_cbl1_e",,"SBO:0000627","META:RXN0-1565",,,"MNXR123114",0
∞,∞,∞,"EX_cd2_e","Cadmium exchange","cd2_e --> ","Cadmium --> ","{'Cd': -1.0}",1,"","reaction",0,,"28709|28708|28707|28710",,"EX_cd2_e",,"SBO:0000627","META:RXN0-10","rxn08198|rxn08197","13041","MNXR96499",0
14,14,14,"EX_cgly_e","Cys-Gly exchange","cgly_e --> ","Cys Gly C5H10N2O3S --> ","{'C': -5.0, 'H': -10.0, 'N': -2.0, 'O': -3.0, 'S': -1.0}",1,"","reaction",0,,,,"EX_cgly_e",,"SBO:0000627",,"rxn08211",,"MNXR96658",-1.1851851851851847
